date,deepSleepTime,shallowSleepTime,wakeTime,start,stop,REMTime,naps
2023-09-19,0,0,0,2023-09-19 22:00:00+0000,2023-09-19 22:00:00+0000,0,
2023-09-20,47,304,14,2023-09-20 01:15:00+0000,2023-09-20 08:19:00+0000,59,
2023-09-21,78,355,19,2023-09-20 22:24:00+0000,2023-09-21 07:34:00+0000,98,
2023-09-22,35,219,2,2023-09-22 02:11:00+0000,2023-09-22 08:01:00+0000,94,
2023-09-23,25,281,0,2023-09-22 22:40:00+0000,2023-09-23 05:27:00+0000,101,
2023-09-24,33,238,10,2023-09-24 00:16:00+0000,2023-09-24 05:38:00+0000,41,
2023-09-25,74,355,2,2023-09-24 21:23:00+0000,2023-09-25 06:24:00+0000,110,
2023-09-26,73,266,4,2023-09-25 22:37:00+0000,2023-09-26 05:43:00+0000,83,
2023-09-27,102,280,0,2023-09-27 01:24:00+0000,2023-09-27 09:00:00+0000,74,
2023-09-28,64,332,6,2023-09-27 21:54:00+0000,2023-09-28 06:34:00+0000,118,
2023-09-29,29,197,2,2023-09-29 03:31:00+0000,2023-09-29 08:43:00+0000,84,
2023-09-30,96,294,0,2023-09-29 22:13:00+0000,2023-09-30 06:58:00+0000,135,
2023-10-01,92,235,16,2023-10-01 00:28:00+0000,2023-10-01 07:28:00+0000,77,
2023-10-02,81,248,0,2023-10-01 22:30:00+0000,2023-10-02 05:18:00+0000,79,
2023-10-03,95,258,0,2023-10-03 00:36:00+0000,2023-10-03 07:26:00+0000,57,"[{\"start\":\"2022-01-08 00:37:29+0000\",\"end\":\"2022-01-08 00:37:55+0000\"}]"
2023-10-04,92,274,1,2023-10-03 22:11:00+0000,2023-10-04 06:13:00+0000,115,
2023-10-05,103,295,0,2023-10-04 22:58:00+0000,2023-10-05 07:37:00+0000,121,
2023-10-06,43,246,0,2023-10-06 02:48:00+0000,2023-10-06 08:06:00+0000,29,
2023-10-07,82,254,2,2023-10-06 22:27:00+0000,2023-10-07 05:37:00+0000,92,
2023-10-08,27,324,8,2023-10-08 01:45:00+0000,2023-10-08 08:30:00+0000,46,"[{\"start\":\"2022-01-08 00:35:53+0000\",\"end\":\"2022-01-08 00:36:25+0000\"}]"
2023-10-09,64,275,10,2023-10-09 00:01:00+0000,2023-10-09 07:31:00+0000,101,
2023-10-10,39,313,4,2023-10-10 00:58:00+0000,2023-10-10 08:49:00+0000,115,
2023-10-11,64,268,0,2023-10-11 00:13:00+0000,2023-10-11 07:25:00+0000,100,
2023-10-12,93,239,5,2023-10-11 23:50:00+0000,2023-10-12 07:04:00+0000,97,
2023-10-13,0,0,0,2023-10-13 22:00:00+0000,2023-10-13 22:00:00+0000,0,
2023-10-14,0,0,0,2023-10-14 21:00:00+0000,2023-10-14 21:00:00+0000,0,
2023-10-15,0,0,0,2023-10-15 22:00:00+0000,2023-10-15 22:00:00+0000,0,
2023-10-16,0,0,0,2023-10-16 22:00:00+0000,2023-10-16 22:00:00+0000,0,
2023-10-17,0,0,0,2023-10-17 22:00:00+0000,2023-10-17 22:00:00+0000,0,
2023-10-18,0,0,0,2023-10-18 22:00:00+0000,2023-10-18 22:00:00+0000,0,
2023-10-19,105,300,0,2023-10-18 23:58:00+0000,2023-10-19 08:14:00+0000,91,
2023-10-20,81,317,10,2023-10-19 23:44:00+0000,2023-10-20 07:38:00+0000,66,
2023-10-21,56,230,0,2023-10-21 00:31:00+0000,2023-10-21 06:17:00+0000,60,
2023-10-22,62,315,0,2023-10-22 00:36:00+0000,2023-10-22 08:32:00+0000,99,
2023-10-23,91,239,0,2023-10-22 23:04:00+0000,2023-10-23 06:23:00+0000,109,
2023-10-24,107,264,0,2023-10-23 23:51:00+0000,2023-10-24 07:59:00+0000,117,
2023-10-25,86,288,3,2023-10-24 22:53:00+0000,2023-10-25 07:04:00+0000,114,
2023-10-26,50,275,9,2023-10-26 01:26:00+0000,2023-10-26 08:48:00+0000,108,"[{\"start\":\"2022-01-08 00:40:11+0000\",\"end\":\"2022-01-08 00:40:33+0000\"}]"
2023-10-27,0,0,0,2023-10-27 22:00:00+0000,2023-10-27 22:00:00+0000,0,
2023-10-28,82,318,0,2023-10-27 23:00:00+0000,2023-10-28 06:34:00+0000,54,
2023-10-29,56,273,2,2023-10-29 00:28:00+0000,2023-10-29 07:33:00+0000,94,
2023-10-30,87,301,0,2023-10-30 00:28:00+0000,2023-10-30 08:01:00+0000,65,
2023-10-31,59,305,0,2023-10-31 00:28:00+0000,2023-10-31 08:15:00+0000,103,
2023-11-01,64,305,0,2023-11-01 03:42:00+0000,2023-11-01 10:22:00+0000,31,
2023-11-02,56,251,10,2023-11-02 01:00:00+0000,2023-11-02 07:39:00+0000,82,
2023-11-03,103,296,1,2023-11-03 00:19:00+0000,2023-11-03 08:33:00+0000,94,
2023-11-04,93,290,1,2023-11-04 00:20:00+0000,2023-11-04 08:12:00+0000,88,
2023-11-05,68,296,6,2023-11-04 23:48:00+0000,2023-11-05 07:44:00+0000,106,
2023-11-06,94,254,10,2023-11-06 00:52:00+0000,2023-11-06 08:12:00+0000,82,
2023-11-07,0,0,0,2023-11-07 23:00:00+0000,2023-11-07 23:00:00+0000,0,
2023-11-08,0,0,0,2023-11-08 23:00:00+0000,2023-11-08 23:00:00+0000,0,
