date,deepSleepTime,shallowSleepTime,wakeTime,start,stop,REMTime,naps
2023-10-01,111,326,8,2023-09-30 22:12:00+0000,2023-10-01 07:38:00+0000,121,
2023-10-02,0,0,0,2023-10-02 22:00:00+0000,2023-10-02 22:00:00+0000,0,
2023-10-03,0,0,0,2023-10-03 22:00:00+0000,2023-10-03 22:00:00+0000,0,
2023-10-04,90,386,8,2023-10-03 21:34:00+0000,2023-10-04 07:23:00+0000,105,
2023-10-05,125,347,10,2023-10-04 21:16:00+0000,2023-10-05 07:10:00+0000,112,
2023-10-06,64,359,0,2023-10-05 21:49:00+0000,2023-10-06 06:04:00+0000,72,
2023-10-07,72,382,7,2023-10-06 22:11:00+0000,2023-10-07 07:41:00+0000,109,
2023-10-08,83,310,3,2023-10-07 23:42:00+0000,2023-10-08 08:04:00+0000,106,"[{\"start\":\"2022-01-08 00:41:20+0000\",\"end\":\"2022-01-08 00:41:51+0000\"}]"
2023-10-09,101,353,9,2023-10-08 21:55:00+0000,2023-10-09 06:27:00+0000,49,
2023-10-10,106,364,10,2023-10-09 21:00:00+0000,2023-10-10 06:28:00+0000,88,
2023-10-11,63,314,2,2023-10-10 21:42:00+0000,2023-10-11 05:31:00+0000,90,
2023-10-12,42,328,0,2023-10-11 23:13:00+0000,2023-10-12 06:49:00+0000,86,
2023-10-13,59,373,10,2023-10-12 21:43:00+0000,2023-10-13 06:26:00+0000,81,
2023-10-14,0,0,0,2023-10-14 22:00:00+0000,2023-10-14 22:00:00+0000,0,"[{\"start\":\"2022-01-08 00:36:32+0000\",\"end\":\"2022-01-08 00:37:47+0000\"}]"
2023-10-15,90,346,7,2023-10-14 22:28:00+0000,2023-10-15 08:11:00+0000,140,
2023-10-16,106,273,8,2023-10-15 21:52:00+0000,2023-10-16 06:11:00+0000,112,
2023-10-17,94,241,0,2023-10-16 22:10:00+0000,2023-10-17 05:11:00+0000,86,
2023-10-18,105,413,1,2023-10-17 22:12:00+0000,2023-10-18 08:01:00+0000,70,
2023-10-19,66,448,8,2023-10-18 22:18:00+0000,2023-10-19 08:44:00+0000,104,
2023-10-20,96,292,3,2023-10-19 22:56:00+0000,2023-10-20 07:01:00+0000,94,
2023-10-21,0,0,0,2023-10-21 22:00:00+0000,2023-10-21 22:00:00+0000,0,"[{\"start\":\"2022-01-08 00:37:54+0000\",\"end\":\"2022-01-08 00:38:43+0000\"}]"
2023-10-22,77,357,3,2023-10-21 23:10:00+0000,2023-10-22 08:08:00+0000,101,
2023-10-23,83,310,0,2023-10-22 23:48:00+0000,2023-10-23 07:42:00+0000,81,
2023-10-24,77,379,2,2023-10-24 00:48:00+0000,2023-10-24 09:56:00+0000,90,
2023-10-25,59,315,6,2023-10-24 22:59:00+0000,2023-10-25 06:27:00+0000,68,
2023-10-26,79,348,11,2023-10-25 22:28:00+0000,2023-10-26 08:04:00+0000,138,
2023-10-27,61,274,24,2023-10-26 22:34:00+0000,2023-10-27 06:20:00+0000,107,
