date,deepSleepTime,shallowSleepTime,wakeTime,start,stop,REMTime,naps
2023-09-29,0,0,0,2023-09-27 22:00:00+0000,2023-09-27 22:00:00+0000,0,
2023-09-30,0,0,0,2023-09-28 22:00:00+0000,2023-09-28 22:00:00+0000,0,
2023-10-01,0,0,0,2023-09-29 22:00:00+0000,2023-09-29 22:00:00+0000,0,
2023-10-02,0,0,0,2023-09-30 22:00:00+0000,2023-09-30 22:00:00+0000,0,
2023-10-03,0,0,0,2023-10-01 22:00:00+0000,2023-10-01 22:00:00+0000,0,
2023-10-04,0,0,0,2023-10-02 22:00:00+0000,2023-10-02 22:00:00+0000,0,
2023-10-05,0,0,0,2023-10-03 22:00:00+0000,2023-10-03 22:00:00+0000,0,
2023-10-06,41,60,0,2023-10-05 21:02:00+0000,2023-10-05 22:43:00+0000,0,
2023-10-07,0,0,0,2023-10-05 22:00:00+0000,2023-10-05 22:00:00+0000,0,
2023-10-08,0,0,0,2023-10-06 22:00:00+0000,2023-10-06 22:00:00+0000,0,
2023-10-09,0,0,0,2023-10-07 22:00:00+0000,2023-10-07 22:00:00+0000,0,
2023-10-10,64,372,0,2023-10-10 00:23:00+0000,2023-10-10 07:39:00+0000,0,
2023-10-11,65,336,0,2023-10-11 00:36:00+0000,2023-10-11 07:17:00+0000,0,
2023-10-12,0,0,0,2023-10-10 22:00:00+0000,2023-10-10 22:00:00+0000,0,
2023-10-13,0,0,0,2023-10-11 22:00:00+0000,2023-10-11 22:00:00+0000,0,
2023-10-14,0,0,0,2023-10-12 22:00:00+0000,2023-10-12 22:00:00+0000,0,
